ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2012,Other Revenue,Investment Interest,Investment Income,13.64,Feuchtwanger Fund,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1981504.93,Family Presrvtn & Supp Srvcs,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,19746.99,Voc Rehab In Service Training,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,148676.71,ELC NON-PPHF,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,10638.38,National Organic Prog - Handle,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,30812.88,SPC Hartford TRA:CRT,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Energy Conserv Loan Int-Gen,Investment Income,7633.25,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,83109.83,Tax Credit - Film Production,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,ESCHEATS- CT Bottle Bill,Rents  Fines  and Escheats,27126033.28,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,222641,Summer EBT Children Demo Prog,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,11948,SHP WCMHN Torrington,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,586872,Cap Proj Fund Nrwlk CC Opr Fnd,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Petty Cash Returned,Miscellaneous,550,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Board of Inmates in Jails,Sales of Commodities and Services,161.72,Revenue Deposits,General,General
Revenue,2012,Taxes,Hosp And Med Service Corp Tax,Insurance Companies,18068574,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,82776.76,Assistive Technology Project,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,400759.29,Hunter Safety Education,Special Revenue,Special Revenue
Revenue,2012,Other Source,Premium On Bonds Issued,Sale of Bonds,146670955.7,Conversion Value,Debt Service,Debt Service
Revenue,2014,Other Revenue,Principal on Loans,Investment Income,767340.84,Spec Cntmntd Prprty Remdtn Fnd,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,ESCHEATS - CORPORATE ACTIONS,Rents  Fines  and Escheats,46123.12,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1341258.44,Environmental Compliance,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,17741.94,Racial Profiling Project with,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,18280.56,SPC Chrys.Ctr BOS TRA:VSS,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,IV-E and Non IV-E Programs,Sales of Commodities and Services,4503346.04,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4113.4,ARRA-FHWA-Rural < 5k,Special Revenue,Special Revenue
Revenue,2013,Taxes,Domestic Insurance Co Tax,Insurance Companies,51780055.95,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,20294.85,SHP-WCMHN Torrington 2,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Campaign Committee Contrib.,Federal Grants,45130.98,Citizen Election Fund Grants,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,87500,Wetlands Protection,Special Revenue,Special Revenue
Revenue,2013,Taxes,Solid Waste Assessments Tax,Miscellaneous,3417632.05,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,719968.99,ACA CT Background Check Progra,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,222826,Comm Dev Block Grnt CDBY Admin,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,OSHA - On-Site Consultation,Federal Grants,519862.3,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,1473253.04,CTDLC Operations,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,34959,Access & Visitation Prog FFY13,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,45854.32,Contributn/Donatn Bur Nat Res,Special Revenue,Special Revenue
Revenue,2012,Taxes,Unified Gift & Estate Tax,Inheritance and Estate,191699580.6,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,15970.95,Elongated Hemlock Scale Contro,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,126000,Hamden Bsd Outpt Mntl Hlth Srv,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,9908.27,Risk Management,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,9108917.65,Career and Technical Education,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,236341.49,VR Innovation And Expansion,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,6000,DEP Supported Research,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,169212,Federal Direct Student Loan,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1100,Dinosaur MU-MRI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Principal on Loans,Investment Income,8189.5,Loc Brdg Rlv Fd/Bnd/Loans Twns,Enterprise,Enterprise
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,329756.83,Summer EBT Children Demo Prog,Special Revenue,Special Revenue
Revenue,2012,Taxes,Real Estate Conveyance Tax,Real Estate Conveyance,96552275.29,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Indirect Overhead-Fed Project,Miscellaneous,3542.06,Citizen Corps,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,2070000,Municipal Reimb & Revenue Acct,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,75000,Prof Dev Early Childhood,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,600000,Trauma Foc Cogn Behavl Therapy,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Investment Interest,Investment Income,1718.74,Early Retiree Recoveries - ERR,Fiduciary,Agency
Revenue,2013,Other Source,Budgeted Transfers In,Transfers In,61800000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,67939.88,METHAMPHETAMINE  INITIATIVE,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,18500,Tobacco Prevention Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,54897.53,Endangered Species,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Investment Interest,Investment Income,2.52,White Fund,Fiduciary,Other Trust Funds
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,872951.36,CT Commissn Nat Community Srvc,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,310363.46,Repetitive Flood Claims,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,35531.11,CT Water Protection Coord Secu,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Municipal Probate Retirement,Miscellaneous,1922204,Municipal Emps Retirement Admn,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Rents - Miscellaneous,Rents  Fines  and Escheats,1357322.55,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,361938.85,Community Invest Act-Admin,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,800000,Claim Settlements,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,20666188.66,Improving Teacher Quality,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,5000000,ARRA-FTA-SECTION 5309-REG 2,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Sealed Tickets Payments,Sales of Commodities and Services,458927,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,9500,EDGE GRANT,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Administration,Federal Grants,101192505.2,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,82244.6,Proj Various DEP Facilities,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,36312.71,Adult Medicaid Quality Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,HUSKY Program,Federal Grants,39096441.27,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3960,People MU-MRI,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,9018.64,ARRA CCHS Research Partnership,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-10680,Hazard Mitigation Admin Funds,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Loan Agreement Interest,Investment Income,937504.44,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-1922.32,Risk Assesmnt Childrn Research,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,100000,EMS CADAP IT Project,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,56279,Summer Food SDE Administration,Special Revenue,Special Revenue
Revenue,2012,Other Source,Operating Transfers Out,Transfers Out,-1250798.7,Probate Court Administration,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Refunds of Expend-Prior Years,Miscellaneous,-167.31,Sales & Serv Bus Entrpr Prg,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1678.8,TB Outreach Meals,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4407261,SSBG Indep Transit Living Svcs,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,159988,IDEA PT B Sec 611 Ed Handicpd,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,36370,UCONN Commemorative Plates,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3000,Yale Fall Prevention,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Refunds of Processing Fee,Refunds of Payments,-1897477.9,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,17571.37,Choices,Special Revenue,Special Revenue
Revenue,2014,Taxes,Sales/Use Tax-Room Occupancy,Sales and Use,99510960.95,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Loan Agreement Interest,Investment Income,776028.13,Conversion Value,Enterprise,Enterprise
Revenue,2013,Other Revenue,RF-Communication Service-Misc,Sales of Commodities and Services,10700,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2013,Taxes,Foreign Insurance Co Tax,Insurance Companies,179053763.4,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,37485.56,SPC BOS-Torrington TRA:Cons.,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,5000,NASDDDS,Special Revenue,Special Revenue
Revenue,2013,Taxes,Real Estate Conveyance Tax,Real Estate Conveyance,39677888.27,Municipal Revenue Sharing,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,299803,STATE POLICE RESPONSE NEWTOWN,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,175000,Early Childhood Ed Prog,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Tobacco Settlement Proceeds,Miscellaneous,197139187.3,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Bond Forfeitures,Rents  Fines  and Escheats,887993,Revenue Deposits,General,General
Revenue,2013,Other Source,Operating Transfers Out,Transfers Out,-2000000,Community Investment Account,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2200,Putnam MU-MRI,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,RF-Ins Risk Management Revenue,Sales of Commodities and Services,96703.2,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,36851,Benefit Offset Pilot Demo,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,108375,Older Refugees Program,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,336675.87,Inspect Mammography Facilities,Special Revenue,Special Revenue
Revenue,2013,Taxes,Taxes On Controlled Substances,Miscellaneous,35294.44,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,45000,Supporting Employmnt With Tech,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2318633.18,MCSAP Basic Grant   MC-05-09-1,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,116765.84,Predators of  Woolly Adelgid,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Comb Wage Claim Unemp Benefits,Miscellaneous,13107624.05,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,3200,Audit Crim. History - state sh,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,504118.46,Severe Repetitive Loss Program,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,45750,Client Assistance-Handicapped,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Other Interest,Investment Income,189186.14,Conversion Value,Transportation,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4661.43,State & Local Implementation G,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,142959,OS/OW Permit Transmittal Fees,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,87944.92,SPC BOS-United Svc PRA:BrkRw,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-9682.32,Obesity Prevention,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,161159,Neglected Or Delinquent,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Probate Pass Thru Funding,Miscellaneous,1900582,Probate Court Administration,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,800704.63,RPOM - ATS Utilities,Special Revenue,Special Revenue
